UNIQUE_ID,MONTH,AGE,GENDER,OFFENCE,OUTCOME,LENGTH,PREV_CONVICTIONS,DRG_CLASS,DRG_CATEGORY,DRG_CULPABILITY,DRG_HARM,DRG_INCREASING_SER_STAT_1,DRG_INCREASING_SER_STAT_2,DRG_INCREASING_SER_STAT_3,DRG_INCREASING_SER_STAT_4,DRG_INCREASING_SER_STAT_NONE,DRG_INCREASING_SER_OTHER_1,DRG_INCREASING_SER_OTHER_2,DRG_INCREASING_SER_OTHER_3,DRG_INCREASING_SER_OTHER_4,DRG_INCREASING_SER_OTHER_5,DRG_INCREASING_SER_OTHER_6,DRG_INCREASING_SER_OTHER_7,DRG_INCREASING_SER_OTHER_8,DRG_INCREASING_SER_OTHER_9,DRG_INCREASING_SER_OTHER_10,DRG_INCREASING_SER_OTHER_11,DRG_INCREASING_SER_OTHER_12,DRG_INCREASING_SER_OTHER_13,DRG_INCREASING_SER_OTHER_14,DRG_INCREASING_SER_OTHER_15,DRG_INCREASING_SER_OTHER_16,DRG_INCREASING_SER_OTHER_17,DRG_INCREASING_SER_OTHER_18,DRG_INCREASING_SER_OTHER_19,DRG_INCREASING_SER_OTHER_20,DRG_INCREASING_SER_OTHER_21,DRG_INCREASING_SER_OTHER_NONE,DRG_REDUCING_SER_1,DRG_REDUCING_SER_2,DRG_REDUCING_SER_3,DRG_REDUCING_SER_4,DRG_REDUCING_SER_5,DRG_REDUCING_SER_6,DRG_REDUCING_SER_7,DRG_REDUCING_SER_8,DRG_REDUCING_SER_9,DRG_REDUCING_SER_10,DRG_REDUCING_SER_11,DRG_REDUCING_SER_12,DRG_REDUCING_SER_13,DRG_REDUCING_SER_14,DRG_REDUCING_SER_15,DRG_REDUCING_SER_16,DRG_REDUCING_SER_NONE,GUILT_IND_POLICE,GP_STAGE,GP_DISCOUNT,GP_FIRST_OPP
sc-drg-141234-005418,March,25 to 34,Male,Conspiracy to supply,SSO,-,4 to 9,Other Class B,Not Answered,Not Answered,Not Answered,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,Isolated incident,-,-,-,Remorse,-,-,-,-,-,-,-,-,-,No,"On, or after, the day of trial",10%,No
sc-drg-141234-005419,January,35 to 44,Female,Production/being concerned in production/cultivation,Immediate custody,Over 6 months to less than 12,None,Cannabis or Cannabis resin,Not Answered,Lesser role,2,-,-,-,-,None stated,-,-,-,-,High purity or high potential yield,-,-,-,-,-,-,Level of profit element,-,-,-,-,-,-,-,Volume of activity permitted,-,-,-,-,-,-,-,No previous relevant convictions,Offender's vulnerability exploited,Remorse,Good character/exemplary conduct,-,-,-,-,-,-,-,-,No,"Up to, or at, the PCMH",33%,Yes
sc-drg-141234-005420,April,25 to 34,Male,Conspiracy to supply,Immediate custody,Over 5 years and up to 10 years,4 to 9,Other Class A,Not Answered,Not Answered,Not Answered,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Level of profit element,-,-,-,-,Nature of likely supply,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,Not Asked,-,Not Asked
sc-drg-141234-005421,September,18 to 24,Male,Supplying,SSO,-,1 to 3,Cannabis or Cannabis resin,Not Answered,Significant role,3-Street Dealer,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,"Up to, or at, the PCMH",33%,Yes
sc-drg-141234-005422,May,25 to 34,Male,Possession with intent to supply,SSO,-,1 to 3,Cocaine,Not Answered,Lesser role,3-Street Dealer,Previous relevant convictions:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,Involvement due to pressure/intimidation/coercion,-,-,-,-,-,Remorse,-,Determination/demonstration to address addiction/behaviour,-,-,-,-,-,-,-,Not Answered,"Up to, or at, the PCMH",33%,Yes
sc-drg-141234-005423,August,35 to 44,Male,Supplying,SSO,-,1 to 3,Cocaine,Not Answered,Significant role,3-Street Dealer,Previous relevant convictions:,-,-,-,-,-,-,-,-,High purity or high potential yield,-,-,-,-,-,-,Level of profit element,-,-,-,-,Nature of likely supply,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Determination/demonstration to address addiction/behaviour,-,-,-,-,-,-,-,No,"On, or after, the day of trial",33% or more,No
sc-drg-141234-005424,March,18 to 24,Male,Supplying,Immediate custody,12 months,None,Other Class B,Not Answered,Significant role,3-Basis of quantity,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Possession of drug in prison,-,-,-,Lack of sophistication as to nature of concealment,-,-,Isolated incident,-,-,-,Remorse,-,-,-,-,-,-,-,-,-,Not Answered,"Up to, or at, the PCMH",33%,Yes
sc-drg-141234-005425,April,25 to 34,Female,Permitting premises to be used,SSO,-,None,Not Answered,2,Not Asked,Not Asked,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,Isolated incident,-,-,-,-,Good character/exemplary conduct,-,-,-,-,Sole/primary carer for dependent relatives,-,-,-,No,"Up to, or at, the PCMH",33%,Yes
sc-drg-141234-005426,May,25 to 34,Female,Possession with intent to supply,CO,-,None,Cocaine,Not Answered,Lesser role,4,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,Involvement due to pressure/intimidation/coercion,-,-,-,No previous relevant convictions,Offender's vulnerability exploited,Remorse,Good character/exemplary conduct,-,-,-,-,Sole/primary carer for dependent relatives,-,-,-,Not Answered,"On, or after, the day of trial",-,No
sc-drg-141234-005427,January,25 to 34,Male,Supplying,Immediate custody,Over 5 years and up to 10 years,None,Cocaine,Not Answered,Significant role,2,-,-,-,-,None stated,-,-,-,-,High purity or high potential yield,-,-,-,On-going/large scale evidenced by specialist equipment,-,-,Level of profit element,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,Not Asked,-,Not Asked
